Sentence,newline_after,newline_before,nwords,numbers,nnumbers,nnouns,nverbs,nunits ,lable
slow cooker recipes,1,1,3,0,0,2,0,0,0
vegan recipes,1,1,2,0,0,1,0,0,0
vegetarian recipes,2,1,2,0,0,1,0,0,0
diet healthy recipes,2,2,3,0,0,1,0,0,0
diet healthy recipes,2,2,3,0,0,1,0,0,0
see all diet healthy recipes,0,2,5,0,0,1,1,0,0
5 breakfast foods people with diabetes should eat,1,0,8,1,1,4,1,0,0
regularly https //imagesvcmeredithcorpio/v3/mm/image url https 3a 2f 2fstaticonecmsio 2fwp,1,1,9,1,5,1,1,0,0
content 2fuploads 2fsites 2f43 2f2022 2f01 2f13 2fgettyimages 1249377035jpg,2,1,9,1,27,1,0,0,0
5 breakfast foods people with diabetes should eat regularly,0,2,9,1,1,4,1,0,0
data image/svg xml 3csvg 20xmlns http //wwww3org/2000/svg 20viewbox 0 200 20100 20100 3e 3c/svg 3e,2,0,15,1,27,3,2,0,0
5 breakfast foods people with diabetes should eat regularly,2,2,9,1,1,4,1,0,0
if you re watching your blood sugar and carb intake start your day off with,1,2,15,0,0,4,4,0,0
these heart healthy diabetes friendly breakfast foods,2,1,7,0,0,3,1,0,0
well fed,1,2,2,0,0,0,1,0,0
diabetic recipes,1,1,2,0,0,1,0,0,0
gluten free recipes,1,1,3,0,0,1,0,0,0
keto recipes,1,1,2,0,0,2,0,0,0
low calorie recipes,1,1,3,0,0,2,0,0,0
low carb recipes,1,1,3,0,0,2,0,0,0
low cholesterol recipes,1,1,3,0,0,2,0,0,0
low fat recipes,1,1,3,0,0,2,0,0,0
low sodium recipes,1,1,3,0,0,2,0,0,0
mediterranean diet recipes,1,1,3,0,0,1,0,0,0
whole30 recipes,2,1,2,1,2,2,0,0,0
holidays entertaining,2,2,2,0,0,1,1,0,0
holidays entertaining,2,2,2,0,0,1,1,0,0
see all holidays entertaining,0,2,4,0,0,1,2,0,0
you don t need a special cake pan to make this adorable easter lamb,1,0,14,0,0,4,3,0,0
cake https //imagesvcmeredithcorpio/v3/mm/image url https 3a 2f 2fstaticonecmsio 2fwp,1,1,9,1,5,3,1,0,0
content 2fuploads 2fsites 2f43 2f2021 2f01 2f14 2f630534 easter lamb cake,1,1,11,1,23,3,1,0,0
photo by savedbygracejpg,2,1,3,0,0,2,0,0,0
you don t need a special cake pan to make this adorable easter lamb cake,0,2,15,0,0,4,4,0,0
data image/svg xml 3csvg 20xmlns http //wwww3org/2000/svg 20viewbox 0 200 20100 20100 3e 3c/svg 3e,2,0,15,1,27,3,2,0,0
you don t need a special cake pan to make this adorable easter lamb cake,2,2,15,0,0,4,4,0,0
here s how it s done,2,2,6,0,0,0,3,0,0
holiday planning,1,2,2,0,0,2,0,0,0
cocktail hour,1,1,2,0,0,2,0,0,0
good times good food,1,1,4,0,0,2,0,0,0
new year s recipes,1,1,4,0,0,3,0,0,0
recipes for super bowl r,1,1,5,0,0,3,0,0,0
valentines s day recipes,1,1,4,0,0,3,1,0,0
mardi gras recipes,1,1,3,0,0,3,0,0,0
st patrick s day recipes,1,1,5,0,0,4,0,0,0
easter recipes,1,1,2,0,0,2,0,0,0
cinco de mayo recipes,1,1,4,0,0,2,0,0,0
mother s day recipes,1,1,4,0,0,3,0,0,0
4th of july recipes,1,1,4,1,1,2,0,0,0
halloween recipes,1,1,2,0,0,1,0,0,0
thanksgiving recipes,1,1,2,0,0,1,1,0,0
christmas recipes,2,1,2,0,0,2,0,0,0
world cuisine,2,2,2,0,0,2,0,0,0
world cuisine,2,2,2,0,0,2,0,0,0
see all world cuisine,0,2,4,0,0,2,1,0,0
throw a korean style bbq party at,1,0,7,0,0,3,1,0,0
home https //imagesvcmeredithcorpio/v3/mm/image url https 3a 2f 2fstaticonecmsio 2fwp,1,1,9,1,5,3,1,0,0
content 2fuploads 2fsites 2f43 2f2021 2f05 2f20 2f102189514 korean barbecue,1,1,10,1,26,2,0,0,0
with bachan allrecipes 2000jpg,2,1,4,1,4,1,0,0,0
throw a korean style bbq party at home,0,2,8,0,0,4,1,0,0
data image/svg xml 3csvg 20xmlns http //wwww3org/2000/svg 20viewbox 0 200 20100 20100 3e 3c/svg 3e,2,0,15,1,27,3,2,0,0
throw a korean style bbq party at home,2,2,8,0,0,4,1,0,0
korean barbeque is a shared experience here s how to create the communal,1,2,13,0,0,2,3,0,0
korean bbq experience at home,0,1,5,0,0,3,0,0,0
chinese recipes,1,0,2,0,0,1,0,0,0
filipino recipes,1,1,2,0,0,2,0,0,0
german recipes,1,1,2,0,0,1,0,0,0
greek recipes,1,1,2,0,0,1,0,0,0
indian recipes,1,1,2,0,0,1,0,0,0
italian recipes,1,1,2,0,0,1,0,0,0
japanese recipes,1,1,2,0,0,1,0,0,0
mexican recipes,1,1,2,0,0,1,0,0,0
russian recipes,1,1,2,0,0,1,0,0,0
spanish recipes,1,1,2,0,0,1,0,0,0
thai recipes,1,1,2,0,0,2,0,0,0
global kitchen,2,1,2,0,0,1,0,0,0
kitchen tips,2,2,2,0,0,2,0,0,0
kitchen tips,2,2,2,0,0,2,0,0,0
see all kitchen tips,0,2,4,0,0,1,2,0,0
how to boil eggs perfectly every,1,0,6,0,0,1,1,0,0
time https //imagesvcmeredithcorpio/v3/mm/image url https 3a 2f 2fstaticonecmsio 2fwp,1,1,9,1,5,2,1,0,0
content 2fuploads 2fsites 2f43 2f2021 2f01 2f21 2fboiled eggs different cook,1,1,11,1,17,3,0,0,0
times photo by 13 smile gettyimages 910219308 2000jpg,2,1,8,1,15,2,1,0,0
how to boil eggs perfectly every time,0,2,7,0,0,2,1,0,0
data image/svg xml 3csvg 20xmlns http //wwww3org/2000/svg 20viewbox 0 200 20100 20100 3e 3c/svg 3e,2,0,15,1,27,3,2,0,0
how to boil eggs perfectly every time,2,2,7,0,0,2,1,0,0
we ll show you how to boil eggs so they turn out just the way you want them,1,2,18,0,0,2,5,0,0
whether you like them hard boiled or soft boiled,2,1,9,0,0,1,2,0,0
all about ingredients,1,2,3,0,0,1,0,0,0
baking,1,1,1,0,0,1,0,0,0
buying,1,1,1,0,0,1,0,0,0
cleaning,1,1,1,0,0,1,0,0,0
recipe conversion and scaling,1,1,4,0,0,2,0,0,0
decorating cakes cookies and other desserts,1,1,6,0,0,3,1,0,0
food handling and safety,1,1,4,0,0,3,0,0,0
gardening,1,1,1,0,0,1,0,0,0
grilling and other outdoor cooking,1,1,5,0,0,3,0,0,0
how to,1,1,2,0,0,0,0,0,0
meal planning and menus,1,1,4,0,0,3,0,0,0
ingredient substitutions,1,1,2,0,0,2,0,0,0
kitchen tools and techniques,1,1,4,0,0,3,0,0,0
you can cook that,2,1,4,0,0,0,1,0,0
allrecipes magazine recipes,1,2,3,0,0,3,0,0,0
food wishes with chef john,1,1,5,0,0,4,0,0,0
homemade podcast,1,1,2,0,0,2,0,0,0
trusted brands,1,1,2,0,0,1,1,0,0
food news and trends,2,1,4,0,0,3,0,0,0
food news and trends,2,2,4,0,0,3,0,0,0
see all food news and trends,0,2,6,0,0,3,1,0,0
do microfiber cloths actually,1,0,4,0,0,1,2,0,0
work,0,1,1,0,0,1,0,0,0
https //imagesvcmeredithcorpio/v3/mm/image url https 3a 2f 2fstaticonecmsio 2fwp,1,0,8,1,5,2,1,0,0
content 2fuploads 2fsites 2f43 2f2022 2f01 2f20 2fgettyimages 1358089502 2000jpg,2,1,10,1,31,1,0,0,0
do microfiber cloths actually work,0,2,5,0,0,1,3,0,0
data image/svg xml 3csvg 20xmlns http //wwww3org/2000/svg 20viewbox 0 200 20100 20100 3e 3c/svg 3e,2,0,15,1,27,3,2,0,0
do microfiber cloths actually work,0,2,5,0,0,1,3,0,0
get to know the magic of microfiber,2,0,7,0,0,2,2,0,0
cooks to follow,1,2,3,0,0,1,1,0,0
gift guides,1,1,2,0,0,2,0,0,0
product reviews and buying guides,1,1,5,0,0,3,1,0,0
recalls,2,1,1,0,0,1,0,0,0
about us,2,2,2,0,0,0,0,0,0
profile menu,2,2,2,0,0,2,0,0,0
get allrecipes magazine this link opens in a new tab,0,2,10,0,0,4,2,0,0
log in /img/profilepng,0,0,3,0,0,2,0,0,0
account details /img/profilepng join now,2,0,5,0,0,3,1,0,0
join now,2,2,2,0,0,1,0,0,0
account,2,2,1,0,0,1,0,0,0
join now,1,2,2,0,0,1,0,0,0
newsletters,1,1,1,0,0,1,0,0,0
help this link opens in a new tab,2,1,8,0,0,3,1,0,0
more,2,2,1,0,0,0,0,0,0
shopping list,1,2,2,0,0,2,0,0,0
ask the community this link opens in a new tab,0,1,10,0,0,3,2,0,0
log in /img/profilepng,0,0,3,0,0,2,0,0,0
account details /img/profilepng my account,2,0,5,0,0,3,1,0,0
my account,2,2,2,0,0,1,0,0,0
account,2,2,1,0,0,1,0,0,0
my profile,1,2,2,0,0,1,0,0,0
saved items collections,1,1,3,0,0,2,1,0,0
help this link opens in a new tab,1,1,8,0,0,3,1,0,0
logout,2,1,1,0,0,1,0,0,0
more,2,2,1,0,0,0,0,0,0
shopping list,1,2,2,0,0,2,0,0,0
ask the community this link opens in a new tab,2,1,10,0,0,3,2,0,0
login,2,2,1,0,0,1,0,0,0
sweepstakes,2,2,1,0,0,1,0,0,0
follow us,2,2,2,0,0,0,1,0,0
1 home,1,2,2,1,1,1,0,0,0
2 recipes,1,1,2,1,1,1,0,0,0
3 desserts,1,1,2,1,1,1,0,0,0
4 fruit desserts,1,1,3,1,1,2,0,0,0
5 blueberry dessert recipes,1,1,4,1,1,3,0,0,0
6 baked blueberry cheesecake,2,1,4,1,1,1,1,0,0
baked blueberry cheesecake,2,2,3,0,0,1,2,0,0
rating unrated,2,2,2,0,0,1,1,0,0
be the first to rate review,0,2,6,0,0,2,1,0,0
buttery graham cracker crust with a real cheesecake layer topped with a,1,0,12,0,0,6,1,0,0
blueberry topping that s not too sweet,2,1,7,0,0,1,2,0,0
by katlist,2,2,2,0,0,1,0,0,0
save pin print share,2,2,4,0,0,3,1,0,0
facebook tweet email send text message,2,2,6,0,0,5,0,0,0
gallery,0,2,1,0,0,1,0,0,0
/img/icons/recipe add photojpg,2,0,3,0,0,2,0,0,0
recipe summary,2,2,2,0,0,2,0,0,0
cook,2,2,1,0,0,1,0,0,0
55 mins,2,2,2,1,2,1,0,0,0
additional,2,2,1,0,0,0,0,0,0
1 hr,2,2,2,1,1,1,0,0,0
total,2,2,1,0,0,0,0,0,0
2 hrs 15 mins,2,2,4,1,3,1,0,0,0
prep,2,2,1,0,0,1,0,0,0
20 mins,2,2,2,1,2,1,0,0,0
servings,2,2,1,0,0,1,0,0,0
12,2,2,1,1,2,0,0,0,0
yield,2,2,1,0,0,1,0,0,0
12 servings,2,2,2,1,2,1,0,0,0
nutrition info,2,2,2,0,0,2,0,0,0
advertisement,2,2,1,0,0,1,0,0,0
ingredients,2,2,1,0,0,1,0,0,0
decrease serving,2,2,2,0,0,1,1,0,0
12,2,2,1,1,2,0,0,0,0
increase serving,2,2,2,0,0,1,1,0,0
adjust,2,2,1,0,0,1,0,0,0
original recipe yields 12 servings,2,2,5,1,2,3,0,0,0
the ingredient list now reflects the servings specified,2,2,8,0,0,2,2,0,0
crust,2,2,1,0,0,1,0,0,0
1 cups graham cracker crumbs,1,2,5,1,1,3,0,1,1
6 tablespoons butter melted,1,1,4,1,1,1,1,1,1
cup white sugar,2,1,3,0,0,2,0,1,1
filling,2,2,1,0,0,0,1,0,0
3 8 ounce packages cream cheese softened to room temperature,1,2,10,1,2,5,2,0,1
cup white sugar,1,1,3,0,0,2,0,1,1
1 teaspoon vanilla extract,1,1,4,1,1,3,0,1,1
3 eggs,2,1,2,1,1,1,0,0,1
topping,2,2,1,0,0,0,1,0,0
2 cups fresh blueberries,1,2,4,1,1,2,0,1,1
cup white sugar or more to taste,1,1,7,0,0,2,1,1,1
2 tablespoons cornstarch or more to taste,1,1,7,1,1,1,2,1,1
cup cold water,2,1,3,0,0,2,0,1,1
add all ingredients to shopping list view your list,2,2,9,0,0,3,2,0,0
directions,2,2,1,0,0,1,0,0,0
instructions checklist,2,2,2,0,0,1,1,0,0
step 1,2,2,2,1,1,1,0,0,0
preheat the oven to 325 degrees f 165 degrees c,2,2,10,1,6,4,2,0,0
advertisement,2,2,1,0,0,1,0,0,0
step 2,2,2,2,1,1,1,0,0,0
combine graham cracker crumbs melted butter and 1/3 cup sugar in a bowl,1,2,13,1,2,8,1,1,0
press crust mixture into the bottom of a pie plate,2,1,10,0,0,6,0,0,0
step 3,2,2,2,1,1,1,0,0,0
whip together cream cheese and 3/4 cup sugar in a large bowl add eggs 1 at a,1,2,17,1,3,7,1,1,0
time beating well after each addition spread filling over crust in the pie,1,1,13,0,0,6,1,0,0
plate,2,1,1,0,0,1,0,0,0
step 4,2,2,2,1,1,1,0,0,0
bake in the preheated oven until center is almost set and slightly jiggly,1,2,13,0,0,2,2,0,0
about 45 minutes allow cheesecake to cool completely about 1 hour,2,1,11,1,3,3,2,0,0
step 5,2,2,2,1,1,1,0,0,0
combine blueberries and 1/3 cup sugar in a saucepan over low heat stir,1,2,13,1,2,7,0,1,0
cornstarch and cold water together in a small bowl until dissolved stir,1,1,12,0,0,4,1,1,0
cornstarch mixture into blueberries in the saucepan bring to a low boil,1,1,12,0,0,6,0,0,0
about 5 minutes and cook until thickened about 5 minutes more pour blueberry,1,1,13,1,2,4,1,0,0
topping over cheesecake before serving,2,1,5,0,0,1,2,0,0
i made it print,2,2,4,0,0,1,2,0,0
nutrition facts,2,2,2,0,0,2,0,0,0
per serving,2,2,2,0,0,0,1,0,0
420 calories protein 68g carbohydrates 38g fat 277g cholesterol 1234mg,1,2,10,1,14,3,1,0,0
sodium 2881mg full nutrition,2,1,4,1,4,2,0,0,0
advertisement,2,2,1,0,0,1,0,0,0
save pin print share,2,2,4,0,0,3,1,0,0
facebook tweet email send text message,2,2,6,0,0,5,0,0,0
reviews,2,2,1,0,0,1,0,0,0
add rating review,2,2,3,0,0,2,1,0,0
be the first to rate and review,0,2,7,0,0,2,1,0,0
no ratings or reviews yet,2,0,5,0,0,2,0,0,0
advertisement,2,2,1,0,0,1,0,0,0
close this dialog window,2,2,4,0,0,2,0,0,0
review this recipe,2,2,3,0,0,2,0,0,0
baked blueberry cheesecake,2,2,3,0,0,1,2,0,0
rate this recipe your rating rate this a 1 couldn t eat it rate this a 2,1,2,17,1,2,6,2,0,0
didn t like it rate this a 3 it was ok rate this a 4 liked it rate this a,1,1,20,1,2,4,2,0,0
5 loved it,2,1,3,1,1,0,1,0,0
what did you think about this recipe,0,2,7,0,0,1,2,0,0
did you make any changes or notes,0,0,7,0,0,2,2,0,0
add photo,2,0,2,0,0,1,1,0,0
cancel submit,2,2,2,0,0,2,0,0,0
success,0,2,1,0,0,1,0,0,0
thanks for adding your feedback,2,0,5,0,0,2,1,0,0
your photo is being processed if it doesn t appear after 10 minutes try,1,2,14,1,2,2,6,0,0
refreshing the page,2,1,3,0,0,1,1,0,0
close this dialog window,2,2,4,0,0,2,0,0,0
recipe reviews photos,2,2,3,0,0,2,0,0,0
review for,2,2,2,0,0,1,0,0,0
advertisement,2,2,1,0,0,1,0,0,0
back to baked blueberry cheesecake,2,2,5,0,0,1,1,0,0
all reviews for baked blueberry cheesecake,2,2,6,0,0,2,1,0,0
of reviews,2,2,2,0,0,1,0,0,0
reviews most helpful,2,2,3,0,0,1,0,0,0
most helpful most positive least positive newest,2,2,7,0,0,1,0,0,0
advertisement,2,2,1,0,0,1,0,0,0
close this dialog window,2,2,4,0,0,2,0,0,0
share more,2,2,2,0,0,1,0,0,0
close this dialog window,2,2,4,0,0,2,0,0,0
nutritional information,2,2,2,0,0,1,0,0,0
baked blueberry cheesecake,2,2,3,0,0,1,2,0,0
servings per recipe 12,1,2,4,1,2,2,0,0,0
calories 4199,2,1,2,1,4,1,0,0,0
daily value,2,2,2,0,0,1,0,0,0
protein 68g 14,2,2,3,1,4,0,0,0,0
carbohydrates 38g 12,2,2,3,1,4,1,0,0,0
dietary fiber 09g 4,2,2,4,1,3,0,1,0,0
sugars 295g,2,2,2,1,3,1,0,0,0
fat 277g 43,2,2,3,1,5,0,0,0,0
saturated fat 165g 83,2,2,4,1,5,0,1,0,0
cholesterol 1234mg 41,2,2,3,1,6,1,0,0,0
vitamin a iu 10053iu 20,2,2,5,1,7,2,0,0,0
niacin equivalents 17mg 13,2,2,4,1,4,1,0,0,0
vitamin b6 01mg 4,2,2,4,1,4,1,1,0,0
vitamin c 23mg 4,2,2,4,1,3,1,1,0,0
folate 196mcg 5,2,2,3,1,4,1,0,0,0
calcium 574mg 6,2,2,3,1,4,1,0,0,0
iron 14mg 8,2,2,3,1,3,1,0,0,0
magnesium 97mg 4,2,2,3,1,3,1,0,0,0
potassium 1189mg 3,2,2,3,1,5,1,0,0,0
sodium 2881mg 12,2,2,3,1,6,1,0,0,0
thiamin 01mg 5,2,2,3,1,3,0,0,0,0
calories from fat 249,2,2,4,1,3,1,0,0,0
percent daily values are based on a 2 000 calorie diet your daily values may be higher or lower depending on your calorie needs,2,2,24,1,4,5,4,0,0
nutrient information is not available for all ingredients amount is based,1,2,11,0,0,3,3,0,0
on available nutrient data,2,1,4,0,0,2,0,0,0
information is not currently available for this nutrient if you are,1,2,11,0,0,2,2,0,0
following a medically restrictive diet please consult your doctor or,1,1,10,0,0,2,2,0,0
registered dietitian before preparing this recipe for personal consumption,2,1,9,0,0,3,1,0,0
powered by the esha research database c 2018,1,2,8,1,4,3,1,0,0
esha research inc all rights reserved,2,1,6,0,0,3,2,0,0
back to recipe,2,2,3,0,0,0,1,0,0
recipe reviews photos,2,2,3,0,0,2,0,0,0
reviews for photos of baked blueberry cheesecake,2,2,7,0,0,3,1,0,0
reviews most helpful,2,2,3,0,0,1,0,0,0
most helpful most positive least positive newest,2,2,7,0,0,1,0,0,0
1 of 0,2,2,3,1,2,0,0,0,0
advertisement,2,2,1,0,0,1,0,0,0
back to content,2,2,3,0,0,1,0,0,0
remove from collections,2,2,3,0,0,1,1,0,0
are you sure,0,2,3,0,0,0,1,0,0
removing from saved items will permanently delete it from all,1,0,10,0,0,1,3,0,0
collections view my collections,2,1,4,0,0,2,1,0,0
cancel remove,2,2,2,0,0,1,1,0,0
close this dialog window,2,2,4,0,0,2,0,0,0
successfully saved,2,2,2,0,0,0,1,0,0
congrats,0,2,1,0,0,1,0,0,0
you saved baked blueberry cheesecake to your favorites,2,0,8,0,0,2,2,0,0
allrecipes,2,2,1,0,0,1,0,0,0
magazines more,2,2,2,0,0,1,0,0,0
learn more,2,2,2,0,0,0,0,0,0
subscribe this link opens in a new tab,1,2,8,0,0,3,1,0,0
customer service this link opens in a new tab,1,1,9,0,0,4,1,0,0
jobs this link opens in a new tab,1,1,8,0,0,3,1,0,0
advertise this link opens in a new tab,1,1,8,0,0,3,1,0,0
content licensing this link opens in a new tab,1,1,9,0,0,4,1,0,0
apps this link opens in a new tab,1,1,8,0,0,3,1,0,0
sitemap this link opens in a new tab,1,1,8,0,0,3,1,0,0
accolades this link opens in a new tab,2,1,8,0,0,3,1,0,0
connect,2,2,1,0,0,1,0,0,0
follow us,2,2,2,0,0,0,1,0,0
subscribe to our newsletter,2,2,4,0,0,2,0,0,0
meredithallrecipes is part of the meredith food group c copyright 2022,1,2,11,1,4,6,2,0,0
meredith corporationthis link opens in a new tab all rights reserved,1,1,11,0,0,5,2,0,0
privacy policythis link opens in a new tab terms of servicethis link opens in,1,1,14,0,0,7,2,0,0
a new tab ad choicesthis link opens in a new tab california do not sellthis,1,1,15,0,0,6,3,0,0
link opens a modal window web accessibilitythis link opens in a new tab,2,1,13,0,0,7,2,0,0
c copyright 2022 allrecipes all rights reserved printed from,1,2,9,1,4,2,2,0,0
https //wwwallrecipescom 04/14/2022,2,1,3,1,8,1,1,0,0
close,2,2,1,0,0,0,0,0,0
sign in,2,2,2,0,0,1,0,0,0
close this dialog window,2,2,4,0,0,2,0,0,0
view image,2,2,2,0,0,2,0,0,0
baked blueberry cheesecake,2,2,3,0,0,1,2,0,0
this link is to an external site that may or may not meet accessibility,1,2,14,0,0,3,2,0,0
guidelines,2,1,1,0,0,1,0,0,0
back to content,2,2,3,0,0,1,0,0,0
